id,area,square_feet,num_bedrooms,num_bathrooms,year_built,has_garage,price
1,Viman Nagar,1521,1,1,2016,0,4315847
2,Kalyani Nagar,2957,1,2,2003,1,12861115
3,Pimpri-Chinchwad,2816,3,2,1993,0,8615274
4,Kalyani Nagar,2869,3,1,2000,1,5360008
5,Kalyani Nagar,1285,3,3,2012,0,6412778
6,Hinjewadi,1171,1,3,2013,0,5405787
7,Pimpri-Chinchwad,2602,4,2,2019,1,9289185
8,Pimpri-Chinchwad,1997,4,3,1995,1,12102698
9,Pimpri-Chinchwad,2982,5,1,2006,1,9982144
10,Kalyani Nagar,1079,1,3,2003,0,4569237
11,Viman Nagar,1959,3,2,1990,1,12105141
12,Pimpri-Chinchwad,1067,1,3,1986,0,5849347
13,Kalyani Nagar,1193,3,3,1984,1,4998729
14,Hinjewadi,1194,1,1,2009,1,12136027
15,Viman Nagar,2739,2,2,2022,0,7908901
16,Hinjewadi,1077,2,1,1983,1,3852581
17,Viman Nagar,2869,4,1,1983,1,11682433
18,Kalyani Nagar,2632,3,2,1993,0,13874784
19,Koregaon Park,2903,2,2,1992,1,6855141
20,Viman Nagar,1947,3,1,1984,1,9760819
21,Hinjewadi,834,1,1,2003,0,11269406
22,Kalyani Nagar,2095,3,2,1987,0,6463631
23,Viman Nagar,1457,4,2,2014,1,2176711
24,Koregaon Park,3244,1,1,2014,1,9438192
25,Koregaon Park,821,5,3,1981,1,5658896
26,Pimpri-Chinchwad,2856,4,1,1990,1,11955422
27,Pimpri-Chinchwad,1678,1,3,1995,0,14623759
28,Hinjewadi,2216,5,1,2015,0,13962886
29,Viman Nagar,1841,1,1,2017,0,6523059
30,Viman Nagar,1036,4,2,1994,1,2682846
31,Pimpri-Chinchwad,1503,2,1,2018,0,6275176
32,Viman Nagar,2117,1,3,2018,1,3836638
33,Viman Nagar,2688,4,2,1990,0,6533464
34,Koregaon Park,2519,5,3,1986,1,8959259
35,Pimpri-Chinchwad,1419,5,3,1995,1,6207573
36,Kalyani Nagar,2927,3,3,2006,0,6681381
37,Pimpri-Chinchwad,3235,3,3,2004,1,7505409
38,Kalyani Nagar,1769,2,1,2019,1,9995720
39,Koregaon Park,831,5,2,2005,1,9195177
40,Hinjewadi,3071,5,2,2008,1,4233676
41,Viman Nagar,2547,5,2,2015,0,4668387
42,Koregaon Park,1585,5,1,1999,1,5453204
43,Viman Nagar,2786,5,1,2018,0,4492563
44,Hinjewadi,1509,2,1,2005,1,8021249
45,Hinjewadi,3496,4,2,1985,1,4668454
46,Koregaon Park,1081,1,3,1985,0,4033612
47,Hinjewadi,2441,5,2,1983,0,11988816
48,Kalyani Nagar,2767,1,3,2018,1,14219214
49,Hinjewadi,3122,1,3,1994,1,10857794
50,Viman Nagar,1637,3,3,1992,0,11361345
51,Viman Nagar,929,4,1,1989,1,8691688
52,Viman Nagar,2619,1,3,1990,0,9082502
53,Viman Nagar,2959,4,2,1986,0,6220141
54,Kalyani Nagar,2029,4,2,2012,0,14038219
55,Pimpri-Chinchwad,2772,1,1,2012,0,11948701
56,Koregaon Park,2972,5,2,1985,0,7302556
57,Viman Nagar,1062,3,3,2000,0,13598980
58,Hinjewadi,1155,5,3,2014,0,6888593
59,Viman Nagar,1620,2,1,2009,1,2420717
60,Hinjewadi,1307,1,1,2009,0,3264996
61,Hinjewadi,2030,3,3,1997,1,12362275
62,Viman Nagar,3353,3,2,1989,1,9183562
63,Kalyani Nagar,3300,4,1,2013,0,6660280
64,Hinjewadi,1013,3,3,1994,0,8026041
65,Hinjewadi,2476,2,1,2003,0,13777871
66,Viman Nagar,2149,5,2,1983,0,11472523
67,Hinjewadi,1100,1,1,2015,0,13685397
68,Hinjewadi,1673,1,1,1999,1,4369957
69,Viman Nagar,2177,4,2,1989,1,2783913
70,Viman Nagar,2081,1,1,1992,1,12371631
71,Koregaon Park,3240,1,2,2009,1,10902827
72,Kalyani Nagar,1203,1,3,2008,0,10359246
73,Kalyani Nagar,1641,5,1,1988,1,10163570
74,Hinjewadi,2676,5,1,2000,1,5135273
75,Kalyani Nagar,1564,2,3,2019,0,11489889
76,Hinjewadi,987,4,1,1981,0,13036560
77,Koregaon Park,3498,1,3,2020,0,4910449
78,Viman Nagar,1159,5,2,2013,1,3201379
79,Viman Nagar,3124,4,2,2003,0,8831299
80,Viman Nagar,1521,5,2,1990,1,3725167
81,Kalyani Nagar,3331,2,3,2019,1,2330370
82,Koregaon Park,2193,4,2,2015,0,3453326
83,Kalyani Nagar,2485,1,2,1991,1,4682870
84,Kalyani Nagar,2529,5,3,1994,1,5290497
85,Koregaon Park,2022,1,2,2007,1,10356675
86,Koregaon Park,1731,1,3,2020,1,9731464
87,Koregaon Park,1969,4,3,1995,0,13207434
88,Koregaon Park,1978,2,1,2000,0,2536880
89,Viman Nagar,873,2,2,2017,0,10680612
90,Pimpri-Chinchwad,2568,1,2,2005,1,12141244
91,Pimpri-Chinchwad,1918,2,1,1994,0,5845037
92,Koregaon Park,3183,2,1,1994,0,11728321
93,Pimpri-Chinchwad,2098,1,1,2004,0,13985114
94,Pimpri-Chinchwad,2137,3,2,1997,1,14595689
95,Koregaon Park,2320,4,3,2011,0,8489146
96,Pimpri-Chinchwad,2496,1,2,2001,1,11048085
97,Kalyani Nagar,2652,3,1,1992,0,3573432
98,Hinjewadi,2956,1,2,1996,1,12923198
99,Hinjewadi,2339,3,2,1985,1,2342056
100,Koregaon Park,1080,1,2,1995,0,5224836
101,Viman Nagar,856,3,1,1986,0,2801599
102,Koregaon Park,3172,2,3,1994,1,6996758
103,Viman Nagar,890,5,3,2012,0,14061670
104,Hinjewadi,803,2,3,2005,1,6730561
105,Koregaon Park,1332,2,1,2010,0,13488392
106,Kalyani Nagar,1214,1,1,1989,0,7607709
107,Pimpri-Chinchwad,1435,3,3,2004,0,6492018
108,Viman Nagar,2032,2,3,1991,1,2856857
109,Pimpri-Chinchwad,1062,4,1,2001,0,3304704
110,Pimpri-Chinchwad,1544,1,2,1985,0,9545489
111,Koregaon Park,2426,1,1,1981,1,11465994
112,Pimpri-Chinchwad,2448,1,3,2011,1,5110490
113,Kalyani Nagar,2962,3,3,2006,1,7090538
114,Pimpri-Chinchwad,3244,4,3,1982,1,2001103
115,Koregaon Park,1110,5,3,2001,0,7014778
116,Kalyani Nagar,1406,3,3,2001,1,4548638
117,Hinjewadi,2531,3,2,2023,1,13366671
118,Pimpri-Chinchwad,2344,2,3,2018,0,3148498
119,Koregaon Park,908,1,2,1996,1,8399125
120,Hinjewadi,3133,5,3,2001,1,6436181
121,Hinjewadi,3319,4,1,2018,0,7114000
122,Viman Nagar,1167,3,2,1998,0,5445885
123,Kalyani Nagar,1929,1,2,1980,0,2929575
124,Pimpri-Chinchwad,860,3,3,2001,1,9757323
125,Koregaon Park,2914,5,1,1987,1,7541592
126,Viman Nagar,1172,1,2,2020,0,9621114
127,Kalyani Nagar,3094,2,3,2011,1,14801988
128,Viman Nagar,1222,1,3,1994,0,4408877
129,Kalyani Nagar,3115,4,1,2014,0,14085503
130,Kalyani Nagar,1137,1,1,2022,1,3953614
131,Pimpri-Chinchwad,2276,2,1,1996,1,8897115
132,Kalyani Nagar,1412,5,2,1988,1,8447594
133,Viman Nagar,3262,4,1,2018,1,14161300
134,Kalyani Nagar,2831,5,3,2020,0,12735271
135,Pimpri-Chinchwad,3381,5,2,1996,0,5808013
136,Pimpri-Chinchwad,1316,2,1,1998,1,9851051
137,Viman Nagar,2931,2,1,2021,0,6145957
